iter	Passed	Remaining
464	65	74
465	65	74
466	65	74
467	65	74
468	65	74
469	65	74
470	66	74
471	66	74
472	66	73
473	66	73
474	66	73
475	66	73
476	66	73
477	67	73
478	67	73
479	67	72
480	67	72
481	67	72
482	67	72
483	67	72
484	67	72
485	68	71
486	68	71
487	68	71
488	68	71
489	68	71
490	68	71
491	68	71
492	69	71
493	69	70
494	69	70
495	69	70
496	69	70
497	69	70
498	69	70
499	70	70
500	70	69
501	70	69
502	70	69
503	70	69
504	70	69
505	70	69
506	71	69
507	71	69
508	71	68
509	71	68
510	71	68
511	71	68
512	72	68
513	72	68
514	72	68
515	72	68
516	72	68
517	73	67
518	73	67
519	73	67
520	73	67
521	73	67
522	73	67
523	73	67
524	74	67
525	74	66
526	74	66
527	74	66
528	74	66
529	75	66
530	75	66
531	75	66
532	75	66
533	75	65
534	75	65
535	75	65
536	76	65
537	76	65
538	76	65
539	76	65
540	76	65
541	76	64
542	76	64
543	77	64
544	77	64
545	77	64
546	77	64
547	77	63
548	77	63
549	77	63
550	77	63
551	78	63
552	78	63
553	78	63
554	78	62
555	78	62
556	78	62
557	78	62
558	78	62
559	79	62
560	79	61
561	79	61
562	79	61
563	79	61
564	79	61
565	79	61
566	80	61
567	80	60
568	80	60
569	80	60
570	80	60
571	80	60
572	80	60
573	80	60
574	81	59
575	81	59
576	81	59
577	81	59
578	81	59
579	82	59
580	82	59
581	82	59
582	82	59
583	82	58
584	82	58
585	83	58
586	83	58
587	83	58
588	83	58
589	83	58
590	84	58
591	84	58
592	84	57
593	84	57
594	84	57
595	84	57
596	85	57
597	85	57
598	85	57
599	85	57
600	85	56
601	85	56
602	86	56
603	86	56
604	86	56
605	86	56
606	86	56
607	86	56
608	87	55
609	87	55
610	87	55
611	87	55
612	87	55
613	87	55
614	88	55
615	88	55
616	88	54
617	88	54
618	88	54
619	89	54
620	89	54
621	89	54
622	89	54
623	89	54
624	89	53
625	90	53
626	90	53
627	90	53
628	90	53
629	90	53
630	90	53
631	90	52
632	90	52
633	91	52
634	91	52
635	91	52
636	91	52
637	91	51
638	91	51
639	91	51
640	92	51
641	92	51
642	92	51
643	92	51
644	92	50
645	92	50
646	92	50
647	92	50
648	93	50
649	93	50
650	93	50
651	93	49
652	93	49
653	93	49
654	93	49
655	94	49
656	94	49
657	94	49
658	94	48
659	94	48
660	94	48
661	95	48
662	95	48
663	95	48
664	95	48
665	95	48
666	96	48
667	96	47
668	96	47
669	96	47
670	96	47
671	96	47
672	97	47
673	97	47
674	97	46
675	97	46
676	97	46
677	98	46
678	98	46
679	98	46
680	98	46
681	98	46
682	98	45
683	99	45
684	99	45
685	99	45
686	99	45
687	99	45
688	99	45
689	99	44
690	100	44
691	100	44
692	100	44
693	100	44
694	100	44
695	100	44
696	100	43
697	101	43
698	101	43
699	101	43
700	101	43
701	101	43
702	101	42
703	101	42
704	102	42
705	102	42
706	102	42
707	102	42
708	102	42
709	102	41
710	102	41
711	103	41
712	103	41
713	103	41
714	103	41
715	104	41
716	104	41
717	104	40
718	104	40
719	104	40
720	104	40
721	105	40
722	105	40
723	105	40
724	105	40
725	105	39
726	105	39
727	106	39
728	106	39
729	106	39
730	106	39
731	106	39
732	107	39
733	107	38
734	107	38
735	107	38
736	107	38
737	108	38
738	108	38
739	108	38
740	108	37
741	108	37
742	109	37
743	109	37
744	109	37
745	109	37
746	109	37
747	110	37
748	110	36
749	110	36
750	110	36
751	110	36
752	110	36
753	110	36
754	110	36
755	111	35
756	111	35
757	111	35
758	111	35
759	111	35
760	111	35
761	112	34
762	112	34
763	112	34
764	112	34
765	112	34
766	112	34
767	112	34
768	113	33
769	113	33
770	113	33
771	113	33
772	113	33
773	113	33
774	113	33
775	114	32
776	114	32
777	114	32
778	114	32
779	114	32
780	115	32
781	115	32
782	115	31
783	115	31
784	115	31
785	115	31
786	115	31
787	116	31
788	116	31
789	116	31
790	116	30
791	116	30
792	117	30
793	117	30
794	117	30
795	117	30
796	117	29
797	117	29
798	118	29
799	118	29
800	118	29
801	118	29
802	118	29
803	118	28
804	118	28
805	119	28
806	119	28
807	119	28
808	119	28
809	119	28
810	119	27
811	119	27
812	120	27
813	120	27
814	120	27
815	120	27
816	120	27
817	120	26
818	120	26
819	121	26
820	121	26
821	121	26
822	121	26
823	121	25
824	121	25
825	121	25
826	122	25
827	122	25
828	122	25
829	122	25
830	122	24
831	122	24
832	122	24
833	122	24
834	123	24
835	123	24
836	123	24
837	123	23
838	123	23
839	123	23
840	124	23
841	124	23
842	124	23
843	124	23
844	124	22
845	124	22
846	124	22
847	125	22
848	125	22
849	125	22
850	125	21
851	125	21
852	125	21
853	125	21
854	125	21
855	126	21
856	126	21
857	126	20
858	126	20
859	126	20
860	126	20
861	126	20
862	127	20
863	127	20
864	127	19
865	127	19
866	127	19
867	127	19
868	127	19
869	127	19
870	128	18
871	128	18
872	128	18
873	128	18
874	128	18
875	128	18
876	128	18
877	129	17
878	129	17
879	129	17
880	129	17
881	129	17
882	129	17
